,Unnamed: 0,Suburb,Address,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname
50,50,Albert Park,112 Beaconsfield Pde,h,2850000.0,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,Southern Metropolitan
51,51,Albert Park,94 Graham St,h,1850000.0,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,Southern Metropolitan
52,52,Albert Park,396 Montague St,h,1436000.0,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,Southern Metropolitan
53,53,Albert Park,104 Richardson St,h,2300000.0,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,Southern Metropolitan
54,54,Albert Park,1 Moubray St,h,1800000.0,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,Southern Metropolitan
55,55,Albert Park,29 Faussett St,h,2120000.0,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,Southern Metropolitan
56,56,Albert Park,24 Kerferd Pl,h,1800000.0,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,Southern Metropolitan
57,57,Albert Park,2 Dundas Pl,h,2615000.0,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,Southern Metropolitan
58,58,Albert Park,4a Gatehouse La,h,1370000.0,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,Southern Metropolitan
59,59,Albert Park,65 Graham St,h,1322500.0,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,Southern Metropolitan
60,60,Albert Park,364 Montague St,h,1562500.0,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,Southern Metropolitan
61,61,Albert Park,86 Mills St,h,2000000.0,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,Southern Metropolitan
62,62,Albert Park,97 Page St,h,3010000.0,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,Southern Metropolitan
63,63,Albert Park,55 Withers St,h,2800000.0,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,Southern Metropolitan
64,64,Albert Park,55 Merton St,h,2100000.0,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,Southern Metropolitan
65,65,Albert Park,49 Page St,h,2000000.0,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,Southern Metropolitan
66,66,Albert Park,13/52 Moubray St,u,442500.0,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,Southern Metropolitan
67,67,Albert Park,115 Page St,h,4735000.0,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,Southern Metropolitan
68,68,Albert Park,27 Barrett St,h,2140000.0,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,Southern Metropolitan
69,69,Albert Park,6 Brooke St,h,980000.0,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,Southern Metropolitan
70,70,Albert Park,17 Reed St,h,1740000.0,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,Southern Metropolitan
71,71,Albert Park,9 Durham St,h,985000.0,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,Southern Metropolitan
72,72,Alphington,6 Smith St,h,2000000.0,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,Northern Metropolitan
73,73,Alphington,44 Shiers St,h,1717500.0,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,Northern Metropolitan
74,74,Alphington,83 Fulham Rd,h,2840000.0,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,Northern Metropolitan
75,75,Alphington,3/19 Harker St,u,525500.0,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,Northern Metropolitan
76,76,Alphington,4/2 Miller St,t,805000.0,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,Northern Metropolitan
77,77,Alphington,10 Bennett St,h,1830000.0,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,Northern Metropolitan
78,78,Alphington,38 Bennett St,h,2100000.0,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,Northern Metropolitan
79,79,Alphington,2c Hamilton St,h,865000.0,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,Northern Metropolitan
80,80,Alphington,5/5 Yarana Rd,u,390000.0,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314,Northern Metropolitan
81,81,Alphington,1/14 Fulham Rd,u,512000.0,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262,Northern Metropolitan
82,82,Alphington,11 Margaret Gr,h,1900000.0,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,Northern Metropolitan
83,83,Alphington,42 Shiers St,h,1950000.0,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,Northern Metropolitan
84,84,Altona,158 Queen St,h,520000.0,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,Western Metropolitan
85,85,Altona,59 Bracken Gr,h,1525000.0,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,Western Metropolitan
86,86,Altona,1/123 Blyth St,t,720000.0,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,Western Metropolitan
87,87,Altona,4 Blyth St,h,1120000.0,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,Western Metropolitan
88,88,Altona,29 Rose St,h,1780000.0,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,Western Metropolitan
89,89,Altona,1/170 Blyth St,u,630000.0,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,Western Metropolitan
90,90,Altona,156 Maidstone St,h,660000.0,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,Western Metropolitan
91,91,Altona,1/136 Queen St,u,580000.0,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,Western Metropolitan
92,92,Altona,173 Queen St,h,1335000.0,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,Western Metropolitan
93,93,Altona,3/26 Grieve Pde,u,510000.0,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,Western Metropolitan
94,94,Altona,4/5 Rose St,u,425000.0,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,Western Metropolitan
95,95,Altona,4/31 Millers Rd,u,391000.0,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,-37.8678,144.8384,Western Metropolitan
96,96,Altona,24 Wren St,h,845000.0,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,Western Metropolitan
97,97,Altona,4/57 Blyth St,u,730000.0,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,Western Metropolitan
98,98,Altona,3/46 Sargood St,u,447000.0,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,Western Metropolitan
99,99,Altona,22 Fenfield St,h,678000.0,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,Western Metropolitan
100,100,Altona,5/8 David St,u,580000.0,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,Western Metropolitan
101,101,Altona,27 McIntyre Dr,h,840000.0,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,Western Metropolitan
102,102,Altona,3/20 Mulga St,u,577000.0,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,Western Metropolitan
103,103,Altona,104 Maidstone St,h,857000.0,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,Western Metropolitan
104,104,Altona,5/57 Blyth St,u,730000.0,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,-37.868,144.8285,Western Metropolitan
105,105,Altona,2/60 David St,h,535600.0,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272,Western Metropolitan
106,106,Altona North,45 Hearn St,h,1085000.0,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567,Western Metropolitan
107,107,Altona North,4 Knapp St,h,781000.0,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835,Western Metropolitan
108,108,Altona North,3/66 Marion St,t,421000.0,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,Western Metropolitan
109,109,Altona North,33 Carthy St,h,683000.0,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,Western Metropolitan
110,110,Altona North,1/5 Little St,h,720000.0,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,-37.8379,144.8583,Western Metropolitan
111,111,Altona North,1/95 Mills St,h,588000.0,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,-37.838,144.8555,Western Metropolitan
112,112,Altona North,5 Binns St,h,710000.0,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,-37.8294,144.8378,Western Metropolitan
113,113,Altona North,25 Allan St,h,875000.0,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,-37.8448,144.8529,Western Metropolitan
114,114,Altona North,2/36 May St,h,675000.0,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,-37.8337,144.8554,Western Metropolitan
115,115,Altona North,11 Beevers St,h,708000.0,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,-37.8258,144.8523,Western Metropolitan
116,116,Altona North,252 Millers Rd,h,693000.0,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,-37.8391,144.8467,Western Metropolitan
117,117,Altona North,1/156 Chambers Rd,h,620000.0,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443,Western Metropolitan
118,118,Altona North,2 Gadsden St,h,728500.0,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,-37.8277,144.8385,Western Metropolitan
119,119,Altona North,24 Hansen St,h,931000.0,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,-37.8382,144.8649,Western Metropolitan
120,120,Altona North,6 Hill St,h,815000.0,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,-37.8318,144.8388,Western Metropolitan
121,121,Altona North,5 Cresser St,h,1200000.0,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,-37.8375,144.8541,Western Metropolitan
122,122,Altona North,4/221 Blackshaws Rd,u,292000.0,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649,Western Metropolitan
123,123,Armadale,8/19 Mercer Rd,u,599000.0,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,-37.8543,145.0262,Southern Metropolitan
124,124,Armadale,14/71 Denbigh Rd,u,995000.0,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,-37.8552,145.016,Southern Metropolitan
125,125,Armadale,4/769 High St,t,1205000.0,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135,Southern Metropolitan
126,126,Armadale,7 Llaneast St,h,1939000.0,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,-37.8614,145.0274,Southern Metropolitan
127,127,Armadale,28 Cambridge St,h,1870000.0,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182,Southern Metropolitan
128,128,Armadale,3/20 Mercer Rd,t,1918000.0,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,-37.8537,145.0267,Southern Metropolitan
129,129,Armadale,12 Willis St,h,2050000.0,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281,Southern Metropolitan
130,130,Armadale,9/19 Mercer Rd,u,735000.0,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,-37.8543,145.0262,Southern Metropolitan
131,131,Armadale,10 William St,h,1435000.0,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,-37.8564,145.0228,Southern Metropolitan
132,132,Armadale,15/405 Dandenong Rd,u,280000.0,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,-37.8619,145.0185,Southern Metropolitan
133,133,Armadale,8/58 Sutherland Rd,u,592500.0,6.3,2.0,1.0,1.0,0.0,73.0,1970.0,-37.8574,145.0174,Southern Metropolitan
134,134,Armadale,40 New St,h,1210000.0,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,-37.8543,145.016,Southern Metropolitan
135,135,Armadale,35 Northcote Rd,h,2801000.0,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,-37.8536,145.0173,Southern Metropolitan
136,136,Armadale,791 High St,h,1800000.0,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145,Southern Metropolitan
137,137,Armadale,25 Llaneast St,h,2200000.0,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,-37.8613,145.0264,Southern Metropolitan
138,138,Armadale,367 Dandenong Rd,h,5525000.0,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,-37.8602,145.013,Southern Metropolitan
139,139,Armadale,10/581 Orrong Rd,u,440000.0,6.3,1.0,1.0,1.0,0.0,53.0,1970.0,-37.8531,145.0115,Southern Metropolitan
140,140,Armadale,14 New St,h,1300000.0,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,-37.8542,145.0149,Southern Metropolitan
141,141,Armadale,6/51 Armadale St,u,704000.0,6.3,2.0,1.0,1.0,0.0,74.0,1969.0,-37.8573,145.0186,Southern Metropolitan
142,142,Armadale,12/41 Kooyong Rd,u,620000.0,6.3,3.0,1.0,1.0,0.0,98.0,1970.0,-37.8596,145.0198,Southern Metropolitan
143,143,Armadale,63 Denbigh Rd,h,1900000.0,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,-37.8559,145.0158,Southern Metropolitan
144,144,Armadale,10/51 Armadale St,u,710000.0,6.3,2.0,1.0,1.0,2471.0,80.0,1970.0,-37.8573,145.0186,Southern Metropolitan
145,145,Armadale,1/14 Denbigh Rd,u,598000.0,6.3,2.0,1.0,1.0,0.0,88.0,1970.0,-37.8593,145.0156,Southern Metropolitan
146,146,Armadale,75 Sutherland Rd,h,1285000.0,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,-37.8554,145.0173,Southern Metropolitan
147,147,Armadale,1/403 Dandenong Rd,u,520000.0,6.3,1.0,1.0,1.0,0.0,76.0,1970.0,-37.8618,145.0183,Southern Metropolitan
148,148,Armadale,44 Denbigh Rd,h,3625000.0,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,-37.8574,145.016,Southern Metropolitan
149,149,Armadale,44 Hampden Rd,h,4200000.0,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,-37.8582,145.0138,Southern Metropolitan
150,150,Armadale,3/769 High St,t,1101000.0,6.3,3.0,1.0,2.0,103.0,3.0,2000.0,-37.8542,145.0135,Southern Metropolitan
151,151,Armadale,4 Mercer Rd,h,3512500.0,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,-37.8557,145.0264,Southern Metropolitan
152,152,Armadale,1/31 Mercer Rd,u,869000.0,6.3,2.0,1.0,1.0,0.0,91.0,1940.0,-37.853,145.0264,Southern Metropolitan
153,153,Armadale,5/555 Orrong Rd,u,567000.0,6.3,1.0,1.0,1.0,0.0,53.0,2013.0,-37.8549,145.0113,Southern Metropolitan
154,154,Ascot Vale,30 Rothwell St,h,940000.0,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,-37.7777,144.9195,Western Metropolitan
155,155,Ascot Vale,9/5 Rothwell St,u,467000.0,5.9,2.0,1.0,1.0,0.0,62.0,1980.0,-37.7761,144.9201,Western Metropolitan
156,156,Ascot Vale,7 Francis St,h,1380000.0,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,-37.7777,144.9221,Western Metropolitan
157,157,Ascot Vale,2/21 Harold St,u,490000.0,5.9,2.0,1.0,1.0,423.0,62.0,1970.0,-37.7736,144.9015,Western Metropolitan
158,158,Ascot Vale,44 The Parade,h,1850000.0,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,-37.7729,144.9179,Western Metropolitan
159,159,Ascot Vale,98 Epsom Rd,h,971000.0,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,-37.775,144.9091,Western Metropolitan
160,160,Ascot Vale,8 Geddes St,h,710000.0,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,-37.7776,144.9142,Western Metropolitan
161,161,Ascot Vale,75 Maribyrnong Rd,h,2425000.0,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,-37.7721,144.9184,Western Metropolitan
162,162,Ascot Vale,119 Roseberry St,h,750000.0,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,-37.7745,144.9093,Western Metropolitan
163,163,Ascot Vale,10 Fenton St,h,1053000.0,5.9,2.0,1.0,1.0,269.0,109.0,1900.0,-37.7748,144.929,Western Metropolitan
164,164,Ascot Vale,10 McCully St,h,1377000.0,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,-37.7756,144.9208,Western Metropolitan
165,165,Ascot Vale,120 Epsom Rd,h,970000.0,5.9,3.0,1.0,2.0,350.0,125.0,1904.0,-37.7759,144.91,Western Metropolitan
166,166,Ascot Vale,63 Kent St,h,751000.0,5.9,2.0,1.0,1.0,118.0,79.0,1890.0,-37.7807,144.9288,Western Metropolitan
167,167,Ascot Vale,4 The Parade,h,950000.0,5.9,2.0,1.0,1.0,173.0,102.0,1900.0,-37.7731,144.9206,Western Metropolitan
168,168,Ascot Vale,1/17 Epsom Rd,u,685000.0,5.9,2.0,1.0,2.0,228.0,90.0,1995.0,-37.7718,144.9066,Western Metropolitan
169,169,Ascot Vale,41 Monash St,h,1230000.0,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,-37.7819,144.9064,Western Metropolitan
170,170,Ascot Vale,51 Francis St,h,770000.0,5.9,2.0,1.0,1.0,226.0,87.0,1900.0,-37.7774,144.9186,Western Metropolitan
171,171,Ascot Vale,12 Mirams St,h,890000.0,5.9,4.0,1.0,1.0,300.0,185.0,1890.0,-37.7766,144.9143,Western Metropolitan
172,172,Ascot Vale,78 The Parade,h,1440000.0,5.9,3.0,1.0,1.0,487.0,131.0,1900.0,-37.7725,144.9146,Western Metropolitan
173,173,Ascot Vale,26 Newsom St,h,1000000.0,5.9,3.0,2.0,2.0,440.0,120.0,1955.0,-37.7746,144.9031,Western Metropolitan
174,174,Ascot Vale,8 Pentland St,h,1435000.0,5.9,3.0,2.0,2.0,532.0,147.0,1950.0,-37.7737,144.904,Western Metropolitan
175,175,Ascot Vale,8/129 The Parade,u,390000.0,5.9,1.0,1.0,1.0,0.0,58.0,1972.0,-37.7723,144.9094,Western Metropolitan
176,176,Ascot Vale,52 Monash St,h,1425000.0,5.9,3.0,2.0,2.0,495.0,139.0,1920.0,-37.7821,144.9055,Western Metropolitan
177,177,Ascot Vale,58 Fenton St,h,1340000.0,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,-37.775,144.93200000000004,Western Metropolitan
178,178,Ascot Vale,70 Munro St,h,955000.0,5.9,3.0,1.0,1.0,263.0,117.0,1910.0,-37.7753,144.9116,Western Metropolitan
179,179,Ascot Vale,125 Epsom Rd,h,1100000.0,5.9,4.0,2.0,5.0,559.0,195.0,1920.0,-37.7791,144.9136,Western Metropolitan
180,180,Ascot Vale,3/28 Ormond Rd,u,432000.0,5.9,2.0,1.0,1.0,0.0,62.0,1978.0,-37.773,144.9303,Western Metropolitan
181,181,Ascot Vale,7 Angler Pde,h,1640000.0,5.9,4.0,3.0,2.0,562.0,204.0,1890.0,-37.782,144.903,Western Metropolitan
182,182,Ascot Vale,26 Ayr St,h,1430000.0,5.9,4.0,2.0,1.0,461.0,286.0,1900.0,-37.78,144.9295,Western Metropolitan
