,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,flag_suburb,flag_street_Address,flag_type,flag_regionname
33,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,62.0,595.0,1.0,2.0
34,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,62.0,2645.0,1.0,2.0
35,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,62.0,2711.0,0.0,2.0
36,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,62.0,1950.0,0.0,2.0
37,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,62.0,154.0,1.0,2.0
38,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,62.0,238.0,2.0,2.0
39,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,62.0,355.0,0.0,2.0
40,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,62.0,355.0,0.0,2.0
41,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,62.0,2578.0,0.0,2.0
42,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,62.0,2712.0,0.0,2.0
43,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,62.0,454.0,0.0,2.0
44,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,62.0,1153.0,0.0,2.0
45,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,62.0,18.0,2.0,2.0
46,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,62.0,1435.0,2.0,2.0
47,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,62.0,2249.0,0.0,2.0
48,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,62.0,2270.0,0.0,2.0
49,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,73.0,972.0,0.0,0.0
50,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,-37.8481,144.9499,73.0,708.0,0.0,0.0
51,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,73.0,131.0,0.0,0.0
52,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,73.0,199.0,0.0,0.0
53,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,-37.8447,144.9523,73.0,196.0,0.0,0.0
54,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,73.0,918.0,0.0,0.0
55,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,-37.8422,144.9554,73.0,1929.0,0.0,0.0
56,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,73.0,3056.0,0.0,0.0
57,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,-37.8415,144.9585,73.0,2084.0,0.0,0.0
58,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,73.0,2957.0,0.0,0.0
59,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,73.0,131.0,0.0,0.0
60,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,73.0,199.0,0.0,0.0
61,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,73.0,540.0,0.0,0.0
62,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,-37.8473,144.9551,73.0,59.0,0.0,0.0
63,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,-37.8467,144.9475,73.0,869.0,0.0,0.0
64,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,73.0,652.0,0.0,0.0
65,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,73.0,59.0,0.0,0.0
66,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,73.0,918.0,1.0,0.0
67,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,73.0,59.0,0.0,0.0
68,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,73.0,751.0,0.0,0.0
69,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,73.0,613.0,0.0,0.0
70,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,73.0,2623.0,0.0,0.0
71,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,73.0,424.0,0.0,0.0
72,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,126.0,14.0,0.0,1.0
73,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,126.0,804.0,0.0,1.0
74,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,126.0,514.0,0.0,1.0
75,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,126.0,663.0,1.0,1.0
76,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,126.0,39.0,2.0,1.0
77,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,126.0,566.0,0.0,1.0
78,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,126.0,566.0,0.0,1.0
79,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,126.0,119.0,0.0,1.0
80,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314,126.0,2718.0,1.0,1.0
81,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262,126.0,514.0,1.0,1.0
82,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,126.0,2536.0,0.0,1.0
83,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,126.0,804.0,0.0,1.0
84,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,72.0,173.0,0.0,2.0
85,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,72.0,1572.0,0.0,2.0
86,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,72.0,38.0,2.0,2.0
87,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,72.0,38.0,0.0,2.0
88,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,72.0,105.0,0.0,2.0
89,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,72.0,38.0,1.0,2.0
90,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,72.0,259.0,0.0,2.0
91,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,72.0,173.0,1.0,2.0
92,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,72.0,173.0,0.0,2.0
93,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,72.0,503.0,1.0,2.0
94,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,72.0,105.0,1.0,2.0
95,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,-37.8678,144.8384,72.0,202.0,1.0,2.0
96,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,72.0,2341.0,0.0,2.0
97,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,72.0,38.0,1.0,2.0
98,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,72.0,1011.0,1.0,2.0
99,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,72.0,3360.0,0.0,2.0
100,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,72.0,727.0,1.0,2.0
101,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,72.0,1663.0,0.0,2.0
102,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,72.0,838.0,1.0,2.0
103,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,72.0,259.0,0.0,2.0
104,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,-37.868,144.8285,72.0,38.0,1.0,2.0
105,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272,72.0,727.0,0.0,2.0
106,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567,81.0,2319.0,0.0,2.0
107,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835,81.0,3203.0,0.0,2.0
108,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,81.0,759.0,2.0,2.0
109,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,81.0,1581.0,0.0,2.0
110,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,-37.8379,144.8583,81.0,1721.0,0.0,2.0
111,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,-37.838,144.8555,81.0,540.0,0.0,2.0
112,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,-37.8294,144.8378,81.0,1348.0,0.0,2.0
113,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,-37.8448,144.8529,81.0,2237.0,0.0,2.0
114,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,-37.8337,144.8554,81.0,45.0,0.0,2.0
115,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,-37.8258,144.8523,81.0,2805.0,0.0,2.0
116,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,-37.8391,144.8467,81.0,202.0,0.0,2.0
117,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443,81.0,400.0,0.0,2.0
118,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,-37.8277,144.8385,81.0,3061.0,0.0,2.0
119,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,-37.8382,144.8649,81.0,922.0,0.0,2.0
120,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,-37.8318,144.8388,81.0,683.0,0.0,2.0
121,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,-37.8375,144.8541,81.0,1658.0,0.0,2.0
122,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649,81.0,201.0,1.0,2.0
123,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,-37.8543,145.0262,48.0,219.0,1.0,0.0
124,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,-37.8552,145.016,48.0,159.0,1.0,0.0
125,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135,48.0,1.0,2.0,0.0
126,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,-37.8614,145.0274,48.0,1193.0,0.0,0.0
127,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182,48.0,509.0,0.0,0.0
128,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,-37.8537,145.0267,48.0,219.0,2.0,0.0
129,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281,48.0,160.0,0.0,0.0
130,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,-37.8543,145.0262,48.0,219.0,1.0,0.0
131,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,-37.8564,145.0228,48.0,4.0,0.0,0.0
132,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,-37.8619,145.0185,48.0,3.0,1.0,0.0
133,6.3,2.0,1.0,1.0,0.0,73.0,1970.0,-37.8574,145.0174,48.0,1229.0,1.0,0.0
134,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,-37.8543,145.016,48.0,20.0,0.0,0.0
135,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,-37.8536,145.0173,48.0,2723.0,0.0,0.0
136,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145,48.0,1.0,0.0,0.0
137,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,-37.8613,145.0264,48.0,1193.0,0.0,0.0
138,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,-37.8602,145.013,48.0,3.0,0.0,0.0
139,6.3,1.0,1.0,1.0,0.0,53.0,1970.0,-37.8531,145.0115,48.0,77.0,1.0,0.0
140,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,-37.8542,145.0149,48.0,20.0,0.0,0.0
141,6.3,2.0,1.0,1.0,0.0,74.0,1969.0,-37.8573,145.0186,48.0,850.0,1.0,0.0
142,6.3,3.0,1.0,1.0,0.0,98.0,1970.0,-37.8596,145.0198,48.0,70.0,1.0,0.0
143,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,-37.8559,145.0158,48.0,159.0,0.0,0.0
144,6.3,2.0,1.0,1.0,2471.0,80.0,1970.0,-37.8573,145.0186,48.0,850.0,1.0,0.0
145,6.3,2.0,1.0,1.0,0.0,88.0,1970.0,-37.8593,145.0156,48.0,159.0,1.0,0.0
146,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,-37.8554,145.0173,48.0,1229.0,0.0,0.0
147,6.3,1.0,1.0,1.0,0.0,76.0,1970.0,-37.8618,145.0183,48.0,3.0,1.0,0.0
148,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,-37.8574,145.016,48.0,159.0,0.0,0.0
149,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,-37.8582,145.0138,48.0,1438.0,0.0,0.0
150,6.3,3.0,1.0,2.0,103.0,3.0,2000.0,-37.8542,145.0135,48.0,1.0,2.0,0.0
151,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,-37.8557,145.0264,48.0,219.0,0.0,0.0
152,6.3,2.0,1.0,1.0,0.0,91.0,1940.0,-37.853,145.0264,48.0,219.0,1.0,0.0
153,6.3,1.0,1.0,1.0,0.0,53.0,2013.0,-37.8549,145.0113,48.0,77.0,1.0,0.0
154,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,-37.7777,144.9195,23.0,1064.0,0.0,2.0
155,5.9,2.0,1.0,1.0,0.0,62.0,1980.0,-37.7761,144.9201,23.0,1064.0,1.0,2.0
156,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,-37.7777,144.9221,23.0,207.0,0.0,2.0
157,5.9,2.0,1.0,1.0,423.0,62.0,1970.0,-37.7736,144.9015,23.0,23.0,1.0,2.0
158,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,-37.7729,144.9179,23.0,157.0,0.0,2.0
159,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,-37.775,144.9091,23.0,85.0,0.0,2.0
160,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,-37.7776,144.9142,23.0,395.0,0.0,2.0
161,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,-37.7721,144.9184,23.0,156.0,0.0,2.0
162,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,-37.7745,144.9093,23.0,142.0,0.0,2.0
163,5.9,2.0,1.0,1.0,269.0,109.0,1900.0,-37.7748,144.929,23.0,441.0,0.0,2.0
164,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,-37.7756,144.9208,23.0,1013.0,0.0,2.0
165,5.9,3.0,1.0,2.0,350.0,125.0,1904.0,-37.7759,144.91,23.0,85.0,0.0,2.0
166,5.9,2.0,1.0,1.0,118.0,79.0,1890.0,-37.7807,144.9288,23.0,571.0,0.0,2.0
167,5.9,2.0,1.0,1.0,173.0,102.0,1900.0,-37.7731,144.9206,23.0,157.0,0.0,2.0
168,5.9,2.0,1.0,2.0,228.0,90.0,1995.0,-37.7718,144.9066,23.0,85.0,1.0,2.0
169,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,-37.7819,144.9064,23.0,158.0,0.0,2.0
170,5.9,2.0,1.0,1.0,226.0,87.0,1900.0,-37.7774,144.9186,23.0,207.0,0.0,2.0
171,5.9,4.0,1.0,1.0,300.0,185.0,1890.0,-37.7766,144.9143,23.0,647.0,0.0,2.0
172,5.9,3.0,1.0,1.0,487.0,131.0,1900.0,-37.7725,144.9146,23.0,157.0,0.0,2.0
173,5.9,3.0,2.0,2.0,440.0,120.0,1955.0,-37.7746,144.9031,23.0,800.0,0.0,2.0
174,5.9,3.0,2.0,2.0,532.0,147.0,1950.0,-37.7737,144.904,23.0,2560.0,0.0,2.0
175,5.9,1.0,1.0,1.0,0.0,58.0,1972.0,-37.7723,144.9094,23.0,157.0,1.0,2.0
176,5.9,3.0,2.0,2.0,495.0,139.0,1920.0,-37.7821,144.9055,23.0,158.0,0.0,2.0
177,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,-37.775,144.93200000000004,23.0,441.0,0.0,2.0
178,5.9,3.0,1.0,1.0,263.0,117.0,1910.0,-37.7753,144.9116,23.0,268.0,0.0,2.0
179,5.9,4.0,2.0,5.0,559.0,195.0,1920.0,-37.7791,144.9136,23.0,85.0,0.0,2.0
180,5.9,2.0,1.0,1.0,0.0,62.0,1978.0,-37.773,144.9303,23.0,35.0,1.0,2.0
181,5.9,4.0,3.0,2.0,562.0,204.0,1890.0,-37.782,144.903,23.0,2692.0,0.0,2.0
182,5.9,4.0,2.0,1.0,461.0,286.0,1900.0,-37.78,144.9295,23.0,2485.0,0.0,2.0
183,5.9,2.0,1.0,1.0,301.0,104.0,1995.0,-37.7791,144.914,23.0,85.0,1.0,2.0
184,5.9,3.0,3.0,1.0,491.0,127.0,1950.0,-37.7727,144.9136,23.0,157.0,0.0,2.0
185,5.9,3.0,1.0,1.0,242.0,110.0,1920.0,-37.7765,144.9114,23.0,647.0,0.0,2.0
186,5.9,3.0,2.0,2.0,617.0,149.0,1930.0,-37.7742,144.906,23.0,1091.0,0.0,2.0
187,5.9,4.0,2.0,2.0,597.0,180.0,1939.0,-37.7757,144.9088,23.0,74.0,0.0,2.0
188,5.9,2.0,2.0,1.0,146.0,132.0,2015.0,-37.7713,144.9038,23.0,74.0,2.0,2.0
189,5.9,2.0,1.0,1.0,0.0,62.0,1975.0,-37.7733,144.9219,23.0,186.0,1.0,2.0
190,5.9,3.0,1.0,2.0,506.0,110.0,1920.0,-37.7779,144.9133,23.0,395.0,0.0,2.0
191,5.9,3.0,2.0,2.0,318.0,160.0,2013.0,-37.7744,144.9035,23.0,800.0,2.0,2.0
192,5.9,2.0,1.0,1.0,0.0,65.0,1970.0,-37.7749,144.9137,23.0,142.0,1.0,2.0
193,5.9,4.0,2.0,0.0,418.0,158.0,1900.0,-37.7766,144.9187,23.0,254.0,0.0,2.0
194,5.9,3.0,2.0,1.0,272.0,157.0,1900.0,-37.7774,144.928,23.0,229.0,0.0,2.0
195,5.9,3.0,1.0,1.0,296.0,104.0,1910.0,-37.777,144.9176,23.0,207.0,0.0,2.0
196,5.9,4.0,2.0,1.0,298.0,147.0,1920.0,-37.7778,144.9131,23.0,395.0,0.0,2.0
197,5.9,2.0,1.0,1.0,1957.0,69.0,2012.0,-37.7731,144.9074,23.0,85.0,1.0,2.0
198,5.9,4.0,1.0,1.0,552.0,155.0,1920.0,-37.7769,144.9138,23.0,647.0,0.0,2.0
199,5.9,3.0,2.0,2.0,416.0,168.0,1900.0,-37.7727,144.9055,23.0,74.0,0.0,2.0
200,5.9,3.0,2.0,2.0,285.0,172.0,2011.0,-37.7778,144.9061,23.0,1003.0,0.0,2.0
201,5.9,3.0,2.0,1.0,314.0,177.0,2010.0,-37.7778,144.9042,23.0,1003.0,0.0,2.0
202,5.9,3.0,2.0,1.0,576.0,120.0,1940.0,-37.7816,144.9217,23.0,2135.0,0.0,2.0
203,5.9,2.0,1.0,3.0,252.0,108.0,1910.0,-37.7825,144.9206,23.0,892.0,0.0,2.0
204,5.9,2.0,1.0,1.0,124.0,77.0,1900.0,-37.7807,144.9285,23.0,571.0,0.0,2.0
205,5.9,3.0,2.0,2.0,200.0,144.0,2003.0,-37.7766,144.9277,23.0,609.0,2.0,2.0
206,5.9,2.0,1.0,1.0,278.0,166.0,1900.0,-37.7768,144.9223,23.0,254.0,0.0,2.0
207,5.9,3.0,1.0,1.0,452.0,175.0,1960.0,-37.7762,144.9174,23.0,254.0,0.0,2.0
208,5.9,2.0,1.0,2.0,194.0,71.0,1900.0,-37.7772,144.9118,23.0,85.0,1.0,2.0
209,5.9,4.0,2.0,4.0,598.0,273.0,2012.0,-37.7774,144.9104,23.0,1429.0,0.0,2.0
210,11.0,4.0,3.0,2.0,753.0,399.0,2015.0,-37.8669,145.0767,60.0,641.0,0.0,0.0
211,11.0,3.0,2.0,2.0,599.0,220.0,1930.0,-37.8673,145.0688,60.0,691.0,0.0,0.0
212,11.0,3.0,3.0,4.0,310.0,315.0,2014.0,-37.874,145.0714,60.0,1049.0,2.0,0.0
213,11.0,3.0,2.0,2.0,731.0,149.0,1935.0,-37.8666,145.0676,60.0,2371.0,0.0,0.0
214,11.0,3.0,3.0,2.0,276.0,178.0,2004.0,-37.8699,145.0778,60.0,645.0,0.0,0.0
215,11.0,3.0,1.0,2.0,583.0,112.0,1950.0,-37.8685,145.0786,60.0,645.0,0.0,0.0
216,11.0,9.0,7.0,4.0,1472.0,618.0,2009.0,-37.8729,145.0788,60.0,356.0,0.0,0.0
217,11.0,3.0,2.0,2.0,516.0,145.0,1920.0,-37.8675,145.0668,60.0,2029.0,0.0,0.0
218,11.0,3.0,1.0,2.0,806.0,101.0,1950.0,-37.8695,145.084,60.0,2244.0,0.0,0.0
219,11.0,3.0,1.0,3.0,780.0,152.0,1940.0,-37.8599,145.0815,60.0,415.0,0.0,0.0
220,11.0,4.0,2.0,2.0,780.0,180.0,1938.0,-37.86,145.0817,60.0,415.0,0.0,0.0
221,11.0,3.0,2.0,2.0,351.0,228.0,2006.0,-37.8742,145.07,60.0,1165.0,0.0,0.0
222,11.0,3.0,2.0,3.0,702.0,145.0,1945.0,-37.8737,145.0695,60.0,1165.0,0.0,0.0
223,11.0,5.0,5.0,2.0,755.0,444.0,2015.0,-37.8598,145.0796,60.0,415.0,0.0,0.0
224,11.0,3.0,2.0,2.0,153.0,110.0,1990.0,-37.8655,145.0808,60.0,356.0,2.0,0.0
225,11.0,6.0,4.0,2.0,1075.0,390.0,2010.0,-37.8714,145.07299999999995,60.0,2211.0,0.0,0.0
226,11.0,3.0,2.0,2.0,710.0,139.0,1945.0,-37.8653,145.0897,60.0,2820.0,0.0,0.0
227,11.0,4.0,2.0,4.0,749.0,206.0,1950.0,-37.8669,145.077,60.0,641.0,0.0,0.0
228,11.0,3.0,2.0,3.0,724.0,168.0,1940.0,-37.8619,145.0879,60.0,1364.0,0.0,0.0
229,11.0,3.0,1.0,1.0,605.0,111.0,1950.0,-37.8703,145.0774,60.0,2505.0,0.0,0.0
230,11.0,2.0,1.0,1.0,687.0,104.0,1940.0,-37.872,145.0692,60.0,216.0,0.0,0.0
231,11.0,4.0,2.0,2.0,321.0,199.0,2007.0,-37.8693,145.08,60.0,356.0,2.0,0.0
232,11.0,5.0,3.0,4.0,700.0,266.0,1950.0,-37.8724,145.0758,60.0,645.0,0.0,0.0
233,11.0,4.0,2.0,3.0,696.0,274.0,2000.0,-37.8711,145.0746,60.0,1050.0,0.0,0.0
234,11.0,4.0,2.0,2.0,514.0,240.0,1935.0,-37.8664,145.0772,60.0,2890.0,0.0,0.0
235,11.0,4.0,2.0,2.0,844.0,278.0,1940.0,-37.8715,145.0688,60.0,216.0,0.0,0.0
236,11.0,3.0,1.0,1.0,697.0,164.0,1947.0,-37.8636,145.0903,60.0,2713.0,0.0,0.0
237,12.2,4.0,3.0,2.0,372.0,201.0,2016.0,-37.8716,145.0999,79.0,2590.0,0.0,0.0
